# Sensor Lundemosen, Greve Strand, Denmark (Citizen Science project sensor.community/78298)
# https://aqicn.org/station/@370306/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-06-06T00:00:00.000Z,2.92,12.45,4.25,3.6,5.75,2.145,353
2023-06-07T00:00:00.000Z,2.65,9.3,4.8,4,5.7,1.445,558
2023-06-08T00:00:00.000Z,4.7,12.38,8.52,7.47,10.18,1.737,426
2023-06-09T00:00:00.000Z,1.5,13.73,3.28,2.7,4.9,2.927,563
2023-06-10T00:00:00.000Z,1.4,4.15,2.15,1.85,2.5,0.422,566
2023-06-11T00:00:00.000Z,1.85,6.13,2.54,2.35,2.8,0.413,570
2023-06-12T00:00:00.000Z,2,4.18,2.72,2.42,3.13,0.434,574
2023-06-13T00:00:00.000Z,1.45,4.22,2.7,2.5,2.9,0.364,551
2023-06-14T00:00:00.000Z,2.4,14.25,3.13,2.9,3.47,0.75,548
2023-06-15T00:00:00.000Z,3,6.35,4.05,3.65,4.55,0.664,562
2023-06-16T00:00:00.000Z,3.3,8.93,4.82,4.46,5.28,0.889,557
2023-06-17T00:00:00.000Z,4.05,13.43,6.74,5.7,8.15,1.576,550
2023-06-18T00:00:00.000Z,4.38,15.07,6.35,5.82,7.09,1.465,572
2023-06-19T00:00:00.000Z,4.32,15.32,9.3,7.32,11.55,2.436,359
2023-06-20T00:00:00.000Z,6.35,12.32,9.34,8.5,10.19,1.316,542
2023-06-21T00:00:00.000Z,2.72,20.07,7.52,4.65,11.52,4.512,558
2023-06-22T00:00:00.000Z,2.35,10.32,4.32,3.6,5.8,1.826,555
2023-06-23T00:00:00.000Z,2.2,10.65,4.22,3.63,4.68,1.75,535
2023-06-24T00:00:00.000Z,2.13,25.75,5.15,3.53,7.18,2.342,543
2023-06-25T00:00:00.000Z,3.3,8.93,5.38,4.32,6.7,1.378,555
2023-06-26T00:00:00.000Z,1.9,20.2,5.55,4.23,7.32,3.645,484
2023-06-27T00:00:00.000Z,2,6.07,3.22,2.67,3.8,0.763,545
2023-06-28T00:00:00.000Z,2.29,13.6,4.65,3.58,5.6,1.325,570
2023-06-29T00:00:00.000Z,2.8,20.23,6.64,5.49,9.94,3.506,560
2023-06-30T00:00:00.000Z,1.48,26.85,2.5,2.04,2.95,5.361,559
2023-07-01T00:00:00.000Z,2.1,8.69,4.55,3.03,5.75,1.571,366
2023-07-02T00:00:00.000Z,2,6,3.47,2.9,4.18,0.816,555
2023-07-03T00:00:00.000Z,1.5,7,2.47,2.13,2.85,0.596,550
2023-07-04T00:00:00.000Z,1.38,6.43,2.42,2.1,3,0.658,409
